dis=0, v=0, a_actual=200, time_point=0
dis=3.90625e-07, v=0.0125, a_actual=200, time_point=6.25e-05
dis=1.5625e-06, v=0.025, a_actual=200, time_point=0.000125
dis=3.51562e-06, v=0.0375, a_actual=200, time_point=0.0001875
dis=6.25e-06, v=0.05, a_actual=200, time_point=0.00025
dis=9.76563e-06, v=0.0625, a_actual=200, time_point=0.0003125
dis=1.40625e-05, v=0.075, a_actual=200, time_point=0.000375
dis=1.91406e-05, v=0.0875, a_actual=200, time_point=0.0004375
dis=2.5e-05, v=0.1, a_actual=200, time_point=0.0005
dis=3.16406e-05, v=0.1125, a_actual=200, time_point=0.0005625
dis=3.90625e-05, v=0.125, a_actual=200, time_point=0.000625
dis=4.72656e-05, v=0.1375, a_actual=200, time_point=0.0006875
dis=5.625e-05, v=0.15, a_actual=200, time_point=0.00075
dis=6.60156e-05, v=0.1625, a_actual=200, time_point=0.0008125
dis=7.65625e-05, v=0.175, a_actual=200, time_point=0.000875
dis=8.78906e-05, v=0.1875, a_actual=200, time_point=0.0009375
dis=0.0001, v=0.2, a_actual=200, time_point=0.001
dis=0.000112891, v=0.2125, a_actual=200, time_point=0.0010625
dis=0.000126563, v=0.225, a_actual=200, time_point=0.001125
dis=0.000141016, v=0.2375, a_actual=200, time_point=0.0011875
dis=0.00015625, v=0.25, a_actual=200, time_point=0.00125
dis=0.000172266, v=0.2625, a_actual=200, time_point=0.0013125
dis=0.000189063, v=0.275, a_actual=200, time_point=0.001375
dis=0.000206641, v=0.2875, a_actual=200, time_point=0.0014375
dis=0.000225, v=0.3, a_actual=200, time_point=0.0015
dis=0.000244141, v=0.3125, a_actual=200, time_point=0.0015625
dis=0.000264063, v=0.325, a_actual=200, time_point=0.001625
dis=0.000284766, v=0.3375, a_actual=200, time_point=0.0016875
dis=0.00030625, v=0.35, a_actual=200, time_point=0.00175
dis=0.000328516, v=0.3625, a_actual=200, time_point=0.0018125
dis=0.000351563, v=0.375, a_actual=200, time_point=0.001875
dis=0.000375391, v=0.3875, a_actual=200, time_point=0.0019375
dis=0.0004, v=0.4, a_actual=200, time_point=0.002
dis=0.000425391, v=0.4125, a_actual=200, time_point=0.0020625
dis=0.000451563, v=0.425, a_actual=200, time_point=0.002125
dis=0.000478516, v=0.4375, a_actual=200, time_point=0.0021875
dis=0.00050625, v=0.45, a_actual=200, time_point=0.00225
dis=0.000534766, v=0.4625, a_actual=200, time_point=0.0023125
dis=0.000564063, v=0.475, a_actual=200, time_point=0.002375
dis=0.000594141, v=0.4875, a_actual=200, time_point=0.0024375
dis=0.000625, v=0.5, a_actual=200, time_point=0.0025
dis=0.000656641, v=0.5125, a_actual=200, time_point=0.0025625
dis=0.000689063, v=0.525, a_actual=200, time_point=0.002625
dis=0.000722266, v=0.5375, a_actual=200, time_point=0.0026875
dis=0.00075625, v=0.55, a_actual=200, time_point=0.00275
dis=0.000791016, v=0.5625, a_actual=200, time_point=0.0028125
dis=0.000826563, v=0.575, a_actual=200, time_point=0.002875
dis=0.000862891, v=0.5875, a_actual=200, time_point=0.0029375
dis=0.0009, v=0.6, a_actual=200, time_point=0.003
dis=0.000937891, v=0.6125, a_actual=200, time_point=0.0030625
dis=0.000976563, v=0.625, a_actual=200, time_point=0.003125
dis=0.00101602, v=0.6375, a_actual=200, time_point=0.0031875
dis=0.00105625, v=0.65, a_actual=200, time_point=0.00325
dis=0.00109727, v=0.6625, a_actual=200, time_point=0.0033125
dis=0.00113906, v=0.675, a_actual=200, time_point=0.003375
dis=0.00118164, v=0.6875, a_actual=200, time_point=0.0034375
dis=0.001225, v=0.7, a_actual=200, time_point=0.0035
dis=0.00126914, v=0.7125, a_actual=200, time_point=0.0035625
dis=0.00131406, v=0.725, a_actual=200, time_point=0.003625
dis=0.00135977, v=0.7375, a_actual=200, time_point=0.0036875
dis=0.00140625, v=0.75, a_actual=200, time_point=0.00375
dis=0.00145352, v=0.7625, a_actual=200, time_point=0.0038125
dis=0.00150156, v=0.775, a_actual=200, time_point=0.003875
dis=0.00155039, v=0.7875, a_actual=200, time_point=0.0039375
dis=0.0016, v=0.8, a_actual=200, time_point=0.004
